date,n_stocks,avg_sdl,avg_mom,avg_rev
2025-08-19,188,-3.0708296425802203e-17,-0.04874432936147052,-0.0070685374140615626
2025-08-20,188,0.0,-0.036367616746864825,-0.030952195386043685
2025-08-21,187,0.001892301023091403,-0.026097441734117224,-0.04535582928302633
2025-08-22,187,-0.0006484062302626201,-0.014684642085763073,-0.052341545814318796
2025-08-25,187,-0.0004312819638193852,-0.008659164794597841,-0.00947567356236282
2025-08-26,187,-0.0003524449471993708,-0.0025815247637581,-0.029129282971123358
2025-08-27,187,-0.0023597401082626674,0.013380034082403876,-0.014247299297446697
2025-08-28,187,-1.7811064566178982e-17,0.028661560756320942,-0.020268762500836274
2025-08-29,187,9.499234435295456e-18,0.06417543675152665,-0.009478001973104062
2025-09-01,187,7.124425826471594e-18,0.05647674882978428,-0.023986605400831466
2025-09-02,187,3.888749096949078e-17,0.041323587355415775,-0.012010595067996321
